iter	Passed	Remaining
0	164	164634
1	166	83170
2	171	56933
3	173	43175
4	175	34889
5	177	29437
6	180	25581
7	181	22558
8	183	20160
9	186	18493
10	188	16912
11	189	15582
12	190	14462
13	192	13557
14	194	12769
15	195	12037
16	197	11443
17	199	10886
18	201	10400
19	203	9962
20	205	9566
21	206	9190
22	208	8860
23	210	8568
24	212	8279
25	214	8027
26	216	7795
27	217	7553
28	218	7332
29	220	7129
30	222	6951
31	224	6786
32	225	6617
33	227	6467
34	229	6321
35	230	6175
36	232	6049
37	234	5926
38	235	5800
39	236	5681
40	238	5579
41	240	5478
42	241	5377
43	242	5278
44	246	5236
45	248	5143
46	249	5056
47	254	5041
48	257	4998
49	259	4929
50	261	4864
51	263	4805
52	265	4738
53	266	4668
54	267	4600
55	270	4554
56	271	4498
57	273	4439
58	275	4386
59	276	4335
60	278	4285
61	280	4243
62	282	4201
63	283	4149
64	284	4098
65	286	4051
66	287	4006
67	289	3962
68	290	3918
69	291	3874
70	293	3833
71	294	3800
72	296	3762
73	297	3726
74	298	3687
75	300	3654
76	301	3618
77	303	3581
78	304	3548
79	305	3514
80	307	3483
81	308	3455
82	309	3417
83	310	3387
84	312	3366
85	314	3337
86	315	3311
87	316	3282
88	318	3256
89	319	3232
90	321	3206
91	322	3184
92	324	3164
93	326	3148
94	328	3126
95	329	3101
96	330	3080
97	332	3058
98	333	3038
99	335	3016
100	336	2998
101	338	2977
102	339	2957
103	340	2935
104	341	2914
105	343	2896
106	344	2875
107	345	2855
108	347	2836
109	348	2818
110	349	2800
111	351	2786
112	352	2768
113	355	2766
114	357	2751
115	358	2733
116	359	2715
117	362	2706
118	363	2689
119	364	2674
120	365	2658
121	366	2640
122	368	2626
123	369	2610
124	372	2605
125	373	2592
126	374	2577
127	376	2563
128	380	2567
129	382	2556
130	383	2543
131	384	2531
132	386	2520
133	388	2507
134	389	2497
135	391	2486
136	393	2481
137	395	2472
138	397	2460
139	398	2449
140	400	2437
141	401	2423
142	402	2410
143	403	2398
144	405	2388
145	406	2377
146	407	2365
147	408	2353
148	409	2341
149	411	2332
150	412	2320
151	413	2309
152	415	2297
153	416	2287
154	418	2283
155	420	2274
156	421	2263
157	423	2255
158	424	2246
159	426	2238
160	427	2228
161	428	2218
162	430	2210
163	431	2200
164	432	2191
165	434	2182
166	436	2175
167	437	2166
168	438	2157
169	440	2150
170	441	2141
171	443	2133
172	444	2123
173	445	2114
174	448	2116
175	450	2110
176	452	2102
177	453	2093
178	454	2086
179	456	2077
180	457	2069
181	458	2061
182	460	2054
183	461	2048
184	463	2040
185	464	2032
186	465	2025
187	467	2018
188	468	2010
189	469	2003
190	471	1994
191	472	1988
192	473	1981
193	475	1973
194	476	1966
195	477	1959
196	479	1953
197	480	1946
198	481	1938
199	482	1930
200	484	1924
201	485	1917
202	486	1910
203	487	1903
204	489	1896
205	490	1889
206	491	1882
207	492	1876
208	493	1868
209	494	1861
210	496	1855
211	497	1850
212	499	1844
213	500	1837
214	501	1831
215	503	1826
216	504	1820
217	505	1813
218	506	1807
219	508	1801
220	509	1796
221	510	1790
222	512	1784
223	513	1779
224	515	1774
225	517	1771
226	518	1766
227	519	1760
228	522	1758
229	523	1753
230	524	1746
231	525	1740
232	528	1738
233	529	1733
234	530	1728
235	531	1722
236	533	1717
237	535	1713
238	536	1707
239	537	1702
240	538	1697
241	540	1693
242	542	1688
243	543	1683
244	545	1680
245	546	1676
246	548	1671
247	549	1666
248	550	1660
249	551	1655
250	553	1650
251	554	1645
252	555	1639
253	556	1634
254	558	1630
255	559	1626
256	560	1621
257	561	1616
258	563	1612
259	565	1608
260	566	1603
261	567	1598
262	569	1595
263	571	1592
264	572	1587
265	573	1582
266	574	1577
267	577	1576
268	578	1572
269	579	1567
270	580	1562
271	581	1557
272	583	1554
273	584	1549
274	585	1544
275	587	1540
276	588	1536
277	590	1533
278	591	1529
279	593	1525
280	594	1520
281	595	1516
282	598	1516
283	599	1512
284	601	1509
285	603	1505
286	604	1501
287	605	1497
288	607	1494
289	609	1491
290	610	1487
291	611	1483
292	614	1483
293	616	1479
294	617	1475
295	621	1478
296	622	1474
297	624	1470
298	625	1467
299	627	1463
300	628	1459
301	629	1454
302	630	1450
303	632	1447
304	633	1443
305	634	1439
306	636	1435
307	639	1436
308	640	1432
309	641	1428
310	643	1424
311	644	1422
312	646	1418
313	647	1415
314	648	1411
315	650	1408
316	652	1405
317	653	1402
318	655	1398
319	656	1395
320	658	1392
321	659	1389
322	661	1386
323	662	1382
324	664	1379
325	665	1376
326	667	1373
327	668	1370
328	670	1367
329	672	1366
330	674	1363
331	676	1361
332	677	1357
333	679	1354
334	680	1350
335	681	1347
336	682	1343
337	683	1339
338	685	1335
339	686	1332
340	687	1329
341	689	1325
342	690	1322
343	691	1318
344	692	1315
345	694	1312
346	695	1309
347	696	1305
348	697	1301
349	699	1299
350	701	1296
351	702	1292
352	703	1289
353	704	1286
354	707	1285
355	708	1282
356	710	1279
357	712	1277
358	713	1274
359	715	1271
360	716	1268
361	718	1266
362	720	1264
363	722	1261
364	723	1258
365	725	1257
366	727	1254
367	728	1251
368	730	1249
369	732	1246
370	733	1244
371	735	1242
372	737	1239
373	738	1236
374	739	1233
375	741	1230
376	742	1227
377	743	1224
378	745	1221
379	746	1218
380	748	1215
381	749	1213
382	751	1210
383	752	1207
384	754	1205
385	756	1203
386	757	1199
387	759	1197
388	760	1194
389	762	1192
390	763	1189
391	764	1186
392	766	1183
393	767	1180
394	769	1177
395	770	1175
396	771	1172
397	773	1170
398	775	1167
399	777	1165
400	778	1163
401	781	1162
402	783	1160
403	784	1157
404	786	1155
405	788	1153
406	789	1151
407	792	1149
408	793	1147
409	795	1144
410	796	1141
411	798	1139
412	799	1136
413	800	1133
414	802	1131
415	804	1129
416	807	1128
417	810	1127
418	812	1125
419	815	1125
420	824	1134
421	827	1133
422	830	1132
423	832	1130
424	835	1130
425	837	1128
426	839	1126
427	841	1124
428	842	1121
429	844	1119
430	846	1117
431	848	1115
432	850	1113
433	852	1111
434	854	1109
435	856	1107
436	860	1108
437	864	1109
438	866	1107
439	869	1106
440	873	1107
441	876	1105
442	878	1103
443	879	1101
444	881	1099
445	883	1097
446	885	1095
447	887	1093
448	889	1091
449	890	1088
450	892	1086
451	894	1084
452	896	1082
453	897	1079
454	899	1077
455	901	1075
456	903	1073
457	905	1071
458	908	1071
459	911	1069
460	912	1067
461	915	1065
462	917	1064
463	919	1061
464	921	1060
465	923	1058
466	932	1063
467	934	1062
468	936	1060
469	940	1060
470	944	1060
471	946	1058
472	948	1056
473	953	1057
474	955	1056
475	958	1054
476	960	1052
477	961	1050
478	963	1048
479	965	1046
480	977	1054
481	979	1052
482	981	1050
483	983	1048
484	985	1045
485	986	1043
486	988	1041
487	990	1039
488	992	1036
489	994	1034
490	996	1032
491	998	1030
492	1000	1028
493	1002	1027
494	1004	1025
495	1006	1022
496	1016	1029
497	1018	1026
498	1020	1024
499	1028	1028
500	1031	1027
501	1032	1024
502	1035	1022
503	1036	1020
504	1038	1018
505	1040	1015
506	1042	1013
507	1044	1011
508	1046	1009
509	1049	1007
510	1055	1010
